date,county,county_fips,party,voters
1976-05-17,Aurora,46003,democratic,1508
1976-05-17,Aurora,46003,other,190
1976-05-17,Aurora,46003,republican,984
1976-05-17,Beadle,46005,democratic,7007
1976-05-17,Beadle,46005,other,1264
1976-05-17,Beadle,46005,republican,4773
1976-05-17,Bennett,46007,democratic,933
1976-05-17,Bennett,46007,other,112
1976-05-17,Bennett,46007,republican,784
1976-05-17,Bon Homme,46009,democratic,2527
1976-05-17,Bon Homme,46009,other,409
1976-05-17,Bon Homme,46009,republican,2825
1976-05-17,Brookings,46011,democratic,4817
1976-05-17,Brookings,46011,other,2038
1976-05-17,Brookings,46011,republican,6149
1976-05-17,Brown,46013,democratic,11371
1976-05-17,Brown,46013,other,2016
1976-05-17,Brown,46013,republican,8836
1976-05-17,Brule,46015,democratic,2189
1976-05-17,Brule,46015,other,207
1976-05-17,Brule,46015,republican,1139
1976-05-17,Buffalo,46017,democratic,517
1976-05-17,Buffalo,46017,other,39
1976-05-17,Buffalo,46017,republican,311
1976-05-17,Butte,46019,democratic,1476
1976-05-17,Butte,46019,other,250
1976-05-17,Butte,46019,republican,3053
1976-05-17,Campbell,46021,democratic,313
1976-05-17,Campbell,46021,other,41
1976-05-17,Campbell,46021,republican,1486
1976-05-17,Charles Mix,46023,democratic,3642
1976-05-17,Charles Mix,46023,other,299
1976-05-17,Charles Mix,46023,republican,1861
1976-05-17,Clark,46025,democratic,1432
1976-05-17,Clark,46025,other,206
1976-05-17,Clark,46025,republican,2034
1976-05-17,Clay,46027,democratic,2913
1976-05-17,Clay,46027,other,906
1976-05-17,Clay,46027,republican,2582
1976-05-17,Codington,46029,democratic,5721
1976-05-17,Codington,46029,other,1755
1976-05-17,Codington,46029,republican,4897
1976-05-17,Corson,46031,democratic,1163
1976-05-17,Corson,46031,other,147
1976-05-17,Corson,46031,republican,1189
1976-05-17,Custer,46033,democratic,1248
1976-05-17,Custer,46033,other,302
1976-05-17,Custer,46033,republican,1567
1976-05-17,Davison,46035,democratic,5222
1976-05-17,Davison,46035,other,1100
1976-05-17,Davison,46035,republican,3993
1976-05-17,Day,46037,democratic,3054
1976-05-17,Day,46037,other,309
1976-05-17,Day,46037,republican,2377
1976-05-17,Deuel,46039,democratic,1323
1976-05-17,Deuel,46039,other,374
1976-05-17,Deuel,46039,republican,1674
1976-05-17,Dewey,46041,democratic,997
1976-05-17,Dewey,46041,other,165
1976-05-17,Dewey,46041,republican,1117
1976-05-17,Douglas,46043,democratic,798
1976-05-17,Douglas,46043,other,130
1976-05-17,Douglas,46043,republican,1950
1976-05-17,Edmunds,46045,democratic,1828
1976-05-17,Edmunds,46045,other,205
1976-05-17,Edmunds,46045,republican,1804
1976-05-17,Fall River,46047,democratic,1852
1976-05-17,Fall River,46047,other,370
1976-05-17,Fall River,46047,republican,2828
1976-05-17,Faulk,46049,democratic,1143
1976-05-17,Faulk,46049,other,128
1976-05-17,Faulk,46049,republican,1146
1976-05-17,Grant,46051,democratic,2375
1976-05-17,Grant,46051,other,601
1976-05-17,Grant,46051,republican,2621
1976-05-17,Gregory,46053,democratic,2189
1976-05-17,Gregory,46053,other,176
1976-05-17,Gregory,46053,republican,1826
1976-05-17,Haakon,46055,democratic,576
1976-05-17,Haakon,46055,other,79
1976-05-17,Haakon,46055,republican,999
1976-05-17,Hamlin,46057,democratic,1417
1976-05-17,Hamlin,46057,other,244
1976-05-17,Hamlin,46057,republican,2103
1976-05-17,Hand,46059,democratic,1700
1976-05-17,Hand,46059,other,244
1976-05-17,Hand,46059,republican,1911
1976-05-17,Hanson,46061,democratic,1041
1976-05-17,Hanson,46061,other,165
1976-05-17,Hanson,46061,republican,868
1976-05-17,Harding,46063,democratic,376
1976-05-17,Harding,46063,other,52
1976-05-17,Harding,46063,republican,782
1976-05-17,Hughes,46065,democratic,3057
1976-05-17,Hughes,46065,other,792
1976-05-17,Hughes,46065,republican,4613
1976-05-17,Hutchinson,46067,democratic,1616
1976-05-17,Hutchinson,46067,other,105
1976-05-17,Hutchinson,46067,republican,4630
1976-05-17,Hyde,46069,democratic,745
1976-05-17,Hyde,46069,other,58
1976-05-17,Hyde,46069,republican,770
1976-05-17,Jackson,46071,democratic,295
1976-05-17,Jackson,46071,other,21
1976-05-17,Jackson,46071,republican,631
1976-05-17,Jerauld,46073,democratic,964
1976-05-17,Jerauld,46073,other,107
1976-05-17,Jerauld,46073,republican,1082
1976-05-17,Jones,46075,democratic,434
1976-05-17,Jones,46075,other,29
1976-05-17,Jones,46075,republican,383
1976-05-17,Kingsbury,46077,democratic,1632
1976-05-17,Kingsbury,46077,other,277
1976-05-17,Kingsbury,46077,republican,2927
1976-05-17,Lake,46079,democratic,3286
1976-05-17,Lake,46079,other,538
1976-05-17,Lake,46079,republican,3348
1976-05-17,Lawrence,46081,democratic,3450
1976-05-17,Lawrence,46081,other,702
1976-05-17,Lawrence,46081,republican,5924
1976-05-17,Lincoln,46083,democratic,2749
1976-05-17,Lincoln,46083,other,750
1976-05-17,Lincoln,46083,republican,3978
1976-05-17,Lyman,46085,democratic,908
1976-05-17,Lyman,46085,other,59
1976-05-17,Lyman,46085,republican,1416
1976-05-17,McCook,46087,democratic,1908
1976-05-17,McCook,46087,other,510
1976-05-17,McCook,46087,republican,2091
1976-05-17,McPherson,46089,democratic,520
1976-05-17,McPherson,46089,other,96
1976-05-17,McPherson,46089,republican,2504
1976-05-17,Marshall,46091,democratic,2029
1976-05-17,Marshall,46091,other,190
